match_id,utc_date,status,competition,season_start,season_end,home_team,away_team,score_home,score_away
535113,2025-08-03 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,CR Flamengo,1.0,1.0
535112,2025-08-03 22:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,SE Palmeiras,2.0,2.0
535111,2025-08-03 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,São Paulo FC,1.0,2.0
535108,2025-08-04 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,EC Juventude,3.0,1.0
535115,2025-08-09 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,Mirassol FC,2.0,1.0
535118,2025-08-09 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,EC Vitória,2.0,0.0
535119,2025-08-09 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,SC Internacional,1.0,3.0
535123,2025-08-09 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,Botafogo FR,0.0,5.0
535122,2025-08-10 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,Fluminense FC,3.0,3.0
535116,2025-08-10 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,CA Mineiro,1.0,1.0
535117,2025-08-10 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,Ceará SC,2.0,1.0
535120,2025-08-10 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,Santos FC,1.0,2.0
535121,2025-08-10 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,SC Recife,0.0,1.0
535124,2025-08-11 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,SC Corinthians Paulista,2.0,1.0
535125,2025-08-16 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,Fortaleza EC,2.0,1.0
535133,2025-08-16 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,RB Bragantino,1.0,0.0
535132,2025-08-16 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,EC Juventude,2.0,2.0
535134,2025-08-16 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,São Paulo FC,2.0,2.0
535127,2025-08-17 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,EC Bahia,1.0,2.0
535128,2025-08-17 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,CR Vasco da Gama,0.0,6.0
535130,2025-08-17 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,Grêmio FBPA,1.0,3.0
535131,2025-08-17 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,CR Flamengo,1.0,3.0
535126,2025-08-17 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,SE Palmeiras,0.0,1.0
535129,2025-08-18 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,Cruzeiro EC,1.0,1.0
535074,2025-08-20 22:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,CR Vasco da Gama,2.0,0.0
535139,2025-08-23 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,Fluminense FC,4.0,2.0
535140,2025-08-23 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,SC Internacional,2.0,1.0
535141,2025-08-24 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,Ceará SC,0.0,0.0
535136,2025-08-24 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,SC Corinthians Paulista,2.0,3.0
535142,2025-08-24 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,Santos FC,2.0,0.0
535143,2025-08-24 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,Mirassol FC,0.0,1.0
535144,2025-08-24 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,Botafogo FR,1.0,3.0
535138,2025-08-24 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,CA Mineiro,2.0,0.0
535137,2025-08-25 22:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,SC Recife,3.0,0.0
